barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-HT-8106-10A-01D-2392-01	1	3218610	93188539	51499	7e-04
TCGA-HT-8106-10A-01D-2392-01	1	93191196	93192264	2	-1.8107
TCGA-HT-8106-10A-01D-2392-01	1	93192932	247813706	76999	0.0015
TCGA-HT-8106-10A-01D-2392-01	10	415240	135225087	80492	0.0017
TCGA-HT-8106-10A-01D-2392-01	11	456120	119957516	67100	0.0032
TCGA-HT-8106-10A-01D-2392-01	11	119957618	119957905	2	-1.8818
TCGA-HT-8106-10A-01D-2392-01	11	119960260	134142530	9774	-0.0013
TCGA-HT-8106-10A-01D-2392-01	12	889902	82415583	44435	0.0013
TCGA-HT-8106-10A-01D-2392-01	12	82420006	82446605	14	-0.5195
TCGA-HT-8106-10A-01D-2392-01	12	82447498	133161346	29133	0.0023
TCGA-HT-8106-10A-01D-2392-01	13	19450806	29997880	6119	9e-04
TCGA-HT-8106-10A-01D-2392-01	13	29998588	29999138	2	1.5195
TCGA-HT-8106-10A-01D-2392-01	13	30000197	75147203	25465	0.0036
TCGA-HT-8106-10A-01D-2392-01	13	75148382	75148563	2	-1.8
TCGA-HT-8106-10A-01D-2392-01	13	75149666	114987458	24704	-0.0019
TCGA-HT-8106-10A-01D-2392-01	14	20501368	105988038	49246	5e-04
TCGA-HT-8106-10A-01D-2392-01	15	23687685	101884307	44340	0.0036
TCGA-HT-8106-10A-01D-2392-01	16	653459	89379936	40662	-0.001
TCGA-HT-8106-10A-01D-2392-01	17	987221	80917016	36878	-0.0012
TCGA-HT-8106-10A-01D-2392-01	18	329586	348699	19	0.0141
TCGA-HT-8106-10A-01D-2392-01	18	350580	366043	23	0.6271
TCGA-HT-8106-10A-01D-2392-01	18	367119	77109240	42400	0.0019
TCGA-HT-8106-10A-01D-2392-01	19	284018	53769714	21651	2e-04
TCGA-HT-8106-10A-01D-2392-01	19	53776899	53801466	30	0.5814
TCGA-HT-8106-10A-01D-2392-01	19	53803113	53811789	6	-0.0061
TCGA-HT-8106-10A-01D-2392-01	19	53814411	53819044	8	-0.9456
TCGA-HT-8106-10A-01D-2392-01	19	53819563	58878226	2186	-0.0145
TCGA-HT-8106-10A-01D-2392-01	2	484222	81755117	46868	8e-04
TCGA-HT-8106-10A-01D-2392-01	2	81757652	81765757	9	-0.8727
TCGA-HT-8106-10A-01D-2392-01	2	81769404	242476062	83787	3e-04
TCGA-HT-8106-10A-01D-2392-01	20	455764	62219837	37142	0.0026
TCGA-HT-8106-10A-01D-2392-01	21	15347621	15500371	59	-0.025
TCGA-HT-8106-10A-01D-2392-01	21	15500426	15500426	2	-1.3385
TCGA-HT-8106-10A-01D-2392-01	21	15500729	23238947	5007	0.007
TCGA-HT-8106-10A-01D-2392-01	21	23239482	23239614	2	1.5819
TCGA-HT-8106-10A-01D-2392-01	21	23239763	47678774	15401	-0.0016
TCGA-HT-8106-10A-01D-2392-01	22	17423930	25467619	1534	-0.0096
TCGA-HT-8106-10A-01D-2392-01	22	25467718	25467844	3	-1.0026
TCGA-HT-8106-10A-01D-2392-01	22	25468830	49331012	15365	5e-04
TCGA-HT-8106-10A-01D-2392-01	3	2212571	170160403	91922	0.0027
TCGA-HT-8106-10A-01D-2392-01	3	170160493	170162190	2	-1.6133
TCGA-HT-8106-10A-01D-2392-01	3	170163474	197538677	13949	7e-04
TCGA-HT-8106-10A-01D-2392-01	4	1053934	112212206	61264	0.0028
TCGA-HT-8106-10A-01D-2392-01	4	112212842	112216801	2	-1.7016
TCGA-HT-8106-10A-01D-2392-01	4	112217810	164720784	28746	0.0035
TCGA-HT-8106-10A-01D-2392-01	4	164720898	164721160	2	-1.3494
TCGA-HT-8106-10A-01D-2392-01	4	164721357	188763651	12163	-3e-04
TCGA-HT-8106-10A-01D-2392-01	5	914233	18817943	11406	0.0016
TCGA-HT-8106-10A-01D-2392-01	5	18818469	18845337	18	-0.7116
TCGA-HT-8106-10A-01D-2392-01	5	18979585	135000294	60958	0.0038
TCGA-HT-8106-10A-01D-2392-01	5	135001277	135004471	2	-1.5364
TCGA-HT-8106-10A-01D-2392-01	5	135006081	145547960	5996	0.0036
TCGA-HT-8106-10A-01D-2392-01	5	145551145	145555477	4	-1.575
TCGA-HT-8106-10A-01D-2392-01	5	145555617	180360469	21628	4e-04
TCGA-HT-8106-10A-01D-2392-01	6	1014281	50116702	29356	0.0038
TCGA-HT-8106-10A-01D-2392-01	6	50116960	50117072	2	-1.7998
TCGA-HT-8106-10A-01D-2392-01	6	50121584	170903919	66651	0.0035
TCGA-HT-8106-10A-01D-2392-01	7	705284	158385118	80926	0.004
TCGA-HT-8106-10A-01D-2392-01	8	617667	145232496	81162	0.003
TCGA-HT-8106-10A-01D-2392-01	9	789932	16279539	9026	1e-04
TCGA-HT-8106-10A-01D-2392-01	9	16285777	16404310	139	0.5123
TCGA-HT-8106-10A-01D-2392-01	9	16404403	140938752	58546	-6e-04
TCGA-HT-8106-10A-01D-2392-01	X	3157107	134131019	54414	8e-04
TCGA-HT-8106-10A-01D-2392-01	X	134132137	134132153	2	4.034
TCGA-HT-8106-10A-01D-2392-01	X	134133139	154905589	8981	0.0013
