barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-DU-8166-01A-11D-2252-01	1	3218610	36588402	17447	1e-04
TCGA-DU-8166-01A-11D-2252-01	1	36594173	36599156	3	-1.1174
TCGA-DU-8166-01A-11D-2252-01	1	36601332	179078027	68152	-0.0051
TCGA-DU-8166-01A-11D-2252-01	1	179078119	179078219	2	1.6956
TCGA-DU-8166-01A-11D-2252-01	1	179079190	247813706	43527	-0.0117
TCGA-DU-8166-01A-11D-2252-01	10	415240	135225087	80864	-0.007
TCGA-DU-8166-01A-11D-2252-01	11	456120	2750720	686	-0.3395
TCGA-DU-8166-01A-11D-2252-01	11	2751285	2751334	2	-2.9096
TCGA-DU-8166-01A-11D-2252-01	11	2752130	16625711	9204	-0.1961
TCGA-DU-8166-01A-11D-2252-01	11	16637323	16638042	6	-0.9214
TCGA-DU-8166-01A-11D-2252-01	11	16646088	56240320	20745	-1e-04
TCGA-DU-8166-01A-11D-2252-01	11	56242160	56242261	3	-1.2756
TCGA-DU-8166-01A-11D-2252-01	11	56242354	134142530	46592	0.0376
TCGA-DU-8166-01A-11D-2252-01	12	889902	33521107	19560	0.0196
TCGA-DU-8166-01A-11D-2252-01	12	39223566	46214767	3833	-0.6552
TCGA-DU-8166-01A-11D-2252-01	12	46221051	75191495	16648	-0.0054
TCGA-DU-8166-01A-11D-2252-01	12	75191766	75196621	7	-0.8434
TCGA-DU-8166-01A-11D-2252-01	12	75196881	133161346	33879	-0.0062
TCGA-DU-8166-01A-11D-2252-01	13	19450806	38357494	11844	-0.012
TCGA-DU-8166-01A-11D-2252-01	13	38357838	38357928	2	-1.4575
TCGA-DU-8166-01A-11D-2252-01	13	38358558	114987458	44798	-0.011
TCGA-DU-8166-01A-11D-2252-01	14	20501368	105988038	49448	-0.0042
TCGA-DU-8166-01A-11D-2252-01	15	23687685	101884307	44522	0.0019
TCGA-DU-8166-01A-11D-2252-01	16	653459	64068004	25167	0.0027
TCGA-DU-8166-01A-11D-2252-01	16	64068508	64068695	2	-1.6221
TCGA-DU-8166-01A-11D-2252-01	16	64068732	89379936	15628	0.0037
TCGA-DU-8166-01A-11D-2252-01	17	987221	80917016	36975	0.0033
TCGA-DU-8166-01A-11D-2252-01	18	329586	41837838	22050	-0.004
TCGA-DU-8166-01A-11D-2252-01	18	41837988	41839685	3	-1.3383
TCGA-DU-8166-01A-11D-2252-01	18	41842248	43553868	1193	-0.0082
TCGA-DU-8166-01A-11D-2252-01	18	43556286	43562102	6	0.9137
TCGA-DU-8166-01A-11D-2252-01	18	43566253	77109240	19411	-0.0082
TCGA-DU-8166-01A-11D-2252-01	19	284018	42491536	17341	0.008
TCGA-DU-8166-01A-11D-2252-01	19	42506044	45485915	1201	-0.612
TCGA-DU-8166-01A-11D-2252-01	19	45495267	45748244	92	0.0381
TCGA-DU-8166-01A-11D-2252-01	19	45748354	45765419	5	0.5453
TCGA-DU-8166-01A-11D-2252-01	19	45765701	50150529	1766	0.0819
TCGA-DU-8166-01A-11D-2252-01	19	50197406	56779041	2362	-0.6445
TCGA-DU-8166-01A-11D-2252-01	19	56784914	58878226	1173	0.0358
TCGA-DU-8166-01A-11D-2252-01	2	484222	88735517	50126	-0.0038
TCGA-DU-8166-01A-11D-2252-01	2	88738507	88744165	8	-0.7477
TCGA-DU-8166-01A-11D-2252-01	2	88749461	158504376	32829	-0.0097
TCGA-DU-8166-01A-11D-2252-01	2	158505162	158509414	2	-1.4703
