barcode	chromosome	start	stop	num.mark	seg.mean
TCGA-HT-7881-01A-11D-2391-01	1	51598	76204	15	0.6138
TCGA-HT-7881-01A-11D-2391-01	1	88451	16884097	8723	-0.2863
TCGA-HT-7881-01A-11D-2391-01	1	16884147	16889665	16	0.3773
TCGA-HT-7881-01A-11D-2391-01	1	16890117	17164481	111	-0.0066
TCGA-HT-7881-01A-11D-2391-01	1	17167799	25500964	5257	-0.2916
TCGA-HT-7881-01A-11D-2391-01	1	25501052	25519533	9	0.8179
TCGA-HT-7881-01A-11D-2391-01	1	25519573	79055797	32708	-0.3034
TCGA-HT-7881-01A-11D-2391-01	1	79058522	79061407	3	-2.158
TCGA-HT-7881-01A-11D-2391-01	1	79066285	103965022	15924	-0.317
TCGA-HT-7881-01A-11D-2391-01	1	103965310	104062729	25	0.3158
TCGA-HT-7881-01A-11D-2391-01	1	104069745	105814277	912	-0.3279
TCGA-HT-7881-01A-11D-2391-01	1	105814899	105823898	18	-1.9776
TCGA-HT-7881-01A-11D-2391-01	1	105825578	111180588	3516	-0.3203
TCGA-HT-7881-01A-11D-2391-01	1	111180661	111180854	6	-0.9843
TCGA-HT-7881-01A-11D-2391-01	1	111180862	111181273	5	-0.4795
TCGA-HT-7881-01A-11D-2391-01	1	111181288	111184748	8	-0.9842
TCGA-HT-7881-01A-11D-2391-01	1	111184857	112497610	1088	-0.315
TCGA-HT-7881-01A-11D-2391-01	1	112497716	112498736	20	0.2785
TCGA-HT-7881-01A-11D-2391-01	1	112498764	143238504	5201	-0.3042
TCGA-HT-7881-01A-11D-2391-01	1	143239013	146851961	1103	0.0426
TCGA-HT-7881-01A-11D-2391-01	1	146894193	146894466	3	1.4479
TCGA-HT-7881-01A-11D-2391-01	1	146903393	150822151	1689	0.046
TCGA-HT-7881-01A-11D-2391-01	1	150822330	150852862	31	2.07
TCGA-HT-7881-01A-11D-2391-01	1	150852902	151024314	173	0.0647
TCGA-HT-7881-01A-11D-2391-01	1	151026302	151045182	43	0.426
TCGA-HT-7881-01A-11D-2391-01	1	151045200	177590361	17851	0.0267
TCGA-HT-7881-01A-11D-2391-01	1	177597151	177598005	2	-2.835
TCGA-HT-7881-01A-11D-2391-01	1	177599938	179501358	1211	0.0296
TCGA-HT-7881-01A-11D-2391-01	1	179501632	179505808	2	1.2959
TCGA-HT-7881-01A-11D-2391-01	1	179506636	185982477	4349	0.0223
TCGA-HT-7881-01A-11D-2391-01	1	185984183	185987992	2	1.2503
TCGA-HT-7881-01A-11D-2391-01	1	185991233	187167004	729	0.0235
TCGA-HT-7881-01A-11D-2391-01	1	187167514	187169666	2	1.3282
TCGA-HT-7881-01A-11D-2391-01	1	187172608	194981445	5200	0.0203
TCGA-HT-7881-01A-11D-2391-01	1	194981496	195055624	52	-0.4731
TCGA-HT-7881-01A-11D-2391-01	1	195055667	195068051	34	-0.0409
TCGA-HT-7881-01A-11D-2391-01	1	195068065	195068428	4	-1.1571
TCGA-HT-7881-01A-11D-2391-01	1	195068473	197378144	1376	0.015
TCGA-HT-7881-01A-11D-2391-01	1	197378313	197379634	5	-1.0138
TCGA-HT-7881-01A-11D-2391-01	1	197380463	246754468	34197	0.0254
TCGA-HT-7881-01A-11D-2391-01	1	246754783	246863836	46	-0.741
TCGA-HT-7881-01A-11D-2391-01	1	246875180	247191011	143	0.0852
TCGA-HT-7881-01A-11D-2391-01	10	62809	4277070	3563	0.0304
TCGA-HT-7881-01A-11D-2391-01	10	4280814	4280924	3	1.4249
TCGA-HT-7881-01A-11D-2391-01	10	4281016	4427173	192	0.0033
TCGA-HT-7881-01A-11D-2391-01	10	4429129	4429686	6	-0.763
TCGA-HT-7881-01A-11D-2391-01	10	4433829	12139029	6366	0.0246
TCGA-HT-7881-01A-11D-2391-01	10	12141698	12209518	31	0.5674
TCGA-HT-7881-01A-11D-2391-01	10	12217003	24415269	8977	0.0225
TCGA-HT-7881-01A-11D-2391-01	10	24417680	24417688	7	0.904
TCGA-HT-7881-01A-11D-2391-01	10	24417924	38386007	9647	0.0175
TCGA-HT-7881-01A-11D-2391-01	10	38386161	38386162	2	-1.6985
TCGA-HT-7881-01A-11D-2391-01	10	38386488	47417400	2993	0.0197
TCGA-HT-7881-01A-11D-2391-01	10	47432905	47433407	2	-1.8424
TCGA-HT-7881-01A-11D-2391-01	10	47468066	48356772	290	0.0255
TCGA-HT-7881-01A-11D-2391-01	10	48391956	48578525	9	-0.8809
TCGA-HT-7881-01A-11D-2391-01	10	48651181	49033015	22	0.3456
TCGA-HT-7881-01A-11D-2391-01	10	49051617	50806393	1338	0.015
TCGA-HT-7881-01A-11D-2391-01	10	50867144	50901582	2	0.5591
TCGA-HT-7881-01A-11D-2391-01	10	51005035	51067077	2	1.6822
TCGA-HT-7881-01A-11D-2391-01	10	51119375	51492405	96	0.0125
TCGA-HT-7881-01A-11D-2391-01	10	51500366	51510990	2	-2.8848
TCGA-HT-7881-01A-11D-2391-01	10	51527225	56742311	3848	0.0282
TCGA-HT-7881-01A-11D-2391-01	10	56743537	56745831	2	-2.3678
TCGA-HT-7881-01A-11D-2391-01	10	56745846	66976164	7104	0.0151
TCGA-HT-7881-01A-11D-2391-01	10	66976282	66984452	29	0.4151
TCGA-HT-7881-01A-11D-2391-01	10	66992801	77922857	6774	0.0256
TCGA-HT-7881-01A-11D-2391-01	10	77927067	77927616	2	1.9553
TCGA-HT-7881-01A-11D-2391-01	10	77931273	81022774	2435	0.0173
TCGA-HT-7881-01A-11D-2391-01	10	81053880	81113887	8	-0.7006
TCGA-HT-7881-01A-11D-2391-01	10	81167477	96855291	10231	0.0182
